Region,Dinas,Employee Count,Services Count,Programs Count,Budget (Million),Contact Phone,Website
Kabupaten Serang,Dinas Perumahan,110,3,2,2985,+62-254-7072,https://perumahan.kabupatenserang.go.id
Kabupaten Serang,Dinas Koperasi,40,3,2,4483,+62-254-0552,https://koperasi.kabupatenserang.go.id
Kabupaten Serang,Dinas Kelautan dan Perikanan,100,3,2,3772,+62-254-4000,https://kelautan_dan_perikanan.kabupatenserang.go.id
Kabupaten Serang,Dinas Kehutanan,100,3,2,1086,+62-254-5409,https://kehutanan.kabupatenserang.go.id
Kabupaten Serang,Dinas Pertambangan,100,3,2,4697,+62-254-0575,https://pertambangan.kabupatenserang.go.id
Kabupaten Serang,Dinas Energi dan Sumber Daya Mineral,100,3,2,1162,+62-254-9810,https://energi_dan_sumber_daya_mineral.kabupatenserang.go.id
Kota Cilegon,Dinas Perhubungan,150,3,2,4748,+62-254-5439,https://perhubungan.kotacilegon.go.id
Kota Cilegon,Dinas Pekerjaan Umum,200,3,2,3452,+62-254-9095,https://pekerjaan_umum.kotacilegon.go.id
Kota Cilegon,Dinas Kesehatan,300,3,2,5306,+62-254-3779,https://kesehatan.kotacilegon.go.id
Kota Cilegon,Dinas Pendidikan,250,3,2,3153,+62-254-8436,https://pendidikan.kotacilegon.go.id
Kota Cilegon,Dinas Sosial,180,3,2,5768,+62-254-7681,https://sosial.kotacilegon.go.id
Kota Cilegon,Dinas Perdagangan,120,3,2,4307,+62-254-2339,https://perdagangan.kotacilegon.go.id
Kota Cilegon,Dinas Kependudukan,200,3,2,2707,+62-254-3382,https://kependudukan.kotacilegon.go.id
Kota Cilegon,Dinas Lingkungan Hidup,100,3,2,4069,+62-254-7048,https://lingkungan_hidup.kotacilegon.go.id
Kota Cilegon,Dinas Pertanian,150,3,2,4435,+62-254-5075,https://pertanian.kotacilegon.go.id
Kota Cilegon,Dinas Perindustrian,80,3,2,1936,+62-254-7397,https://perindustrian.kotacilegon.go.id
Kota Cilegon,Dinas Pariwisata,60,3,2,3722,+62-254-3933,https://pariwisata.kotacilegon.go.id
Kota Cilegon,Dinas Kebudayaan,50,3,2,4316,+62-254-8900,https://kebudayaan.kotacilegon.go.id
Kota Cilegon,Dinas Kearsipan,40,3,2,3962,+62-254-6383,https://kearsipan.kotacilegon.go.id
Kota Cilegon,Dinas Perpustakaan,30,3,2,1474,+62-254-1889,https://perpustakaan.kotacilegon.go.id
Kota Cilegon,Dinas Komunikasi,80,3,2,1437,+62-254-2340,https://komunikasi.kotacilegon.go.id
Kota Cilegon,Dinas Penanaman Modal,70,3,2,2736,+62-254-4081,https://penanaman_modal.kotacilegon.go.id
Kota Cilegon,Dinas Tenaga Kerja,100,3,2,1876,+62-254-0674,https://tenaga_kerja.kotacilegon.go.id
Kota Cilegon,Dinas Ketahanan Pangan,90,3,2,3465,+62-254-3947,https://ketahanan_pangan.kotacilegon.go.id
Kota Cilegon,Dinas Pemberdayaan Masyarakat,120,3,2,2408,+62-254-6684,https://pemberdayaan_masyarakat.kotacilegon.go.id
Kota Cilegon,Dinas Perumahan,110,3,2,2985,+62-254-7072,https://perumahan.kotacilegon.go.id
Kota Cilegon,Dinas Koperasi,40,3,2,4483,+62-254-0552,https://koperasi.kotacilegon.go.id
Kota Cilegon,Dinas Perindustrian Perdagangan,100,3,2,3719,+62-254-6193,https://perindustrian_perdagangan.kotacilegon.go.id
Kota Cilegon,Dinas Perumahan Rakyat dan Kawasan Permukiman,100,3,2,2932,+62-254-2157,https://perumahan_rakyat_dan_kawasan_permukiman.kotacilegon.go.id
